vector_size,window,min_count,epochs,negative,coherence,oov_rate,analogy
100,3,2,10,5,0.7873,0.0,0.0
100,3,2,10,10,0.7846,0.0,0.0
100,3,2,20,5,0.7631,0.0,0.25
100,3,2,20,10,0.7581,0.0,0.25
100,3,5,10,5,0.7139,0.0,0.5
100,3,5,10,10,0.7132,0.0,0.5
100,3,5,20,5,0.6958,0.0,0.5
100,3,5,20,10,0.6977,0.0,0.5
100,5,2,10,5,0.7745,0.0,0.0
100,5,2,10,10,0.7813,0.0,0.25
100,5,2,20,5,0.7499,0.0,0.25
100,5,2,20,10,0.7519,0.0,0.25
100,5,5,10,5,0.7083,0.0,0.75
100,5,5,10,10,0.7125,0.0,0.25
100,5,5,20,5,0.6955,0.0,0.5
100,5,5,20,10,0.6998,0.0,0.25
100,10,2,10,5,0.7517,0.0,0.0
100,10,2,10,10,0.7515,0.0,0.0
100,10,2,20,5,0.7257,0.0,0.0
100,10,2,20,10,0.7269,0.0,0.0
100,10,5,10,5,0.6965,0.0,0.0
100,10,5,10,10,0.7037,0.0,0.0
100,10,5,20,5,0.6854,0.0,0.0
100,10,5,20,10,0.6977,0.0,0.0
200,3,2,10,5,0.7315,0.0,0.25
200,3,2,10,10,0.726,0.0,0.25
200,3,2,20,5,0.6933,0.0,0.25
200,3,2,20,10,0.6828,0.0,0.25
200,3,5,10,5,0.6213,0.0,0.25
200,3,5,10,10,0.6147,0.0,0.25
200,3,5,20,5,0.588,0.0,0.25
200,3,5,20,10,0.5844,0.0,0.5
200,5,2,10,5,0.7215,0.0,0.25
200,5,2,10,10,0.7154,0.0,0.25
200,5,2,20,5,0.6835,0.0,0.25
200,5,2,20,10,0.6763,0.0,0.0
200,5,5,10,5,0.618,0.0,0.25
200,5,5,10,10,0.6148,0.0,0.25
200,5,5,20,5,0.5977,0.0,0.5
200,5,5,20,10,0.5923,0.0,0.5
200,10,2,10,5,0.6944,0.0,0.25
200,10,2,10,10,0.6942,0.0,0.25
200,10,2,20,5,0.6621,0.0,0.0
200,10,2,20,10,0.6588,0.0,0.25
200,10,5,10,5,0.6158,0.0,0.25
200,10,5,10,10,0.6163,0.0,0.25
200,10,5,20,5,0.5991,0.0,0.25
200,10,5,20,10,0.6016,0.0,0.25
